name	launch	arrival	end	destination	type	success	link
Pioneer 6	1965	1965	2000	Sun	explorer	True	https://en.wikipedia.org/wiki/Pioneer_6,_7,_8,_and_9
Pioneer 7	1966	1966	1995	Sun	explorer	True	https://en.wikipedia.org/wiki/Pioneer_6,_7,_8,_and_9
Pioneer 8	1967	1967	1996	Sun	explorer	True	https://en.wikipedia.org/wiki/Pioneer_6,_7,_8,_and_9
Pioneer 9	1968	1968	1979	Sun	explorer	True	https://en.wikipedia.org/wiki/Pioneer_6,_7,_8,_and_9
Helios A	1974	1974	1975	Sun	orbiter	True	https://en.wikipedia.org/wiki/Helios_(spacecraft)
Helios B	1976	1976	1979	Sun	orbiter	True	https://en.wikipedia.org/wiki/Helios_(spacecraft)
Ulysses	1990	1994	2009	Sun	orbiter	True	https://en.wikipedia.org/wiki/Ulysses_(spacecraft)
SOHO	1995	1995	2015	Sun	orbiter	True	https://en.wikipedia.org/wiki/Solar_and_Heliospheric_Observatory
Genesis	2001	2001	2004	Sun	sample return	True	https://en.wikipedia.org/wiki/Genesis_(spacecraft)
STEREO A	2006	2007	2015	Sun	orbiter	True	https://en.wikipedia.org/wiki/STEREO
STEREO B	2006	2006	2015	Sun	orbiter	True	https://en.wikipedia.org/wiki/STEREO
MESSENGER	2004	2011	2015	Mercury	orbiter	True	https://en.wikipedia.org/wiki/MESSENGER
Venera 1	1961	1961	1961	Venus	flyby	True	https://en.wikipedia.org/wiki/Venera_1
Mariner 2	1962	1962	1962	Venus	flyby	True	https://en.wikipedia.org/wiki/Mariner_2
Zond 1	1964	1964	1964	Venus	flyby	False	https://en.wikipedia.org/wiki/Zond_1
Venera 2	1965	1965	1967	Venus	flyby	True	https://en.wikipedia.org/wiki/Venera_2
Venera 3	1965	1966	1966	Venus	lander	False	https://en.wikipedia.org/wiki/Venera_3
Mariner 5	1967	1967	1967	Venus	lander	True	https://en.wikipedia.org/wiki/Mariner_5
Venera 4	1967	1967	1967	Venus	lander	True	https://en.wikipedia.org/wiki/Venera_4
Venera 5	1969	1969	1969	Venus	lander	True	https://en.wikipedia.org/wiki/Venera_5
Venera 6	1969	1969	1969	Venus	lander	True	https://en.wikipedia.org/wiki/Venera_6
Venera 7	1970	1970	1970	Venus	lander	True	https://en.wikipedia.org/wiki/Venera_7
Venera 8	1972	1972	1972	Venus	lander	True	https://en.wikipedia.org/wiki/Venera_8
Mariner 10	1973	1974	1975	Venus	flyby	True	https://en.wikipedia.org/wiki/Mariner_10
Venera 9	1975	1975	1975	Venus	orbiter,lander	True	https://en.wikipedia.org/wiki/Venera_9
Venera 10	1975	1975	1975	Venus	orbiter,lander	True	https://en.wikipedia.org/wiki/Venera_10
Pioneer Venus Orbiter	1978	1978	1992	Venus	orbiter	True	https://en.wikipedia.org/wiki/Pioneer_Venus_Orbiter
Pioneer Venus Multiprobe	1978	1978	1978	Venus	lander	True	https://en.wikipedia.org/wiki/Pioneer_Venus_Multiprobe
Venera 11	1978	1978	1978	Venus	flyby,lander	True	https://en.wikipedia.org/wiki/Venera_11
Venera 12	1978	1978	1978	Venus	flyby,lander	True	https://en.wikipedia.org/wiki/Venera_12
Venera 13	1981	1981	1981	Venus	flyby,lander	True	https://en.wikipedia.org/wiki/Venera_13
Venera 14	1981	1981	1981	Venus	flyby,lander	True	https://en.wikipedia.org/wiki/Venera_14
Venera 15	1983	1983	1983	Venus	orbiter	True	https://en.wikipedia.org/wiki/Venera_15
Venera 16	1983	1983	1983	Venus	orbiter	True	https://en.wikipedia.org/wiki/Venera_16
Vega 1	1984	1985	1987	Venus	flyby,lander	True	https://en.wikipedia.org/wiki/Vega_1
Vega 2	1984	1985	1987	Venus	flyby,lander	True	https://en.wikipedia.org/wiki/Vega_2
Magellan	1989	1990	1994	Venus	orbiter	True	https://en.wikipedia.org/wiki/Magellan_(spacecraft)
Venus Express	2005	2006	2015	Venus	orbiter	True	https://en.wikipedia.org/wiki/Venus_Express
Akatsuki	2010	2015	2015	Venus	orbiter	True	https://en.wikipedia.org/wiki/Akatsuki_(spacecraft)
IKAROS	2010	2010	2015	Venus	flyby	True	https://en.wikipedia.org/wiki/IKAROS
Marsnik 1	1960	1960	1960	Mars	flyby	False	https://en.wikipedia.org/wiki/Mars_1M_No.1
Marsnik 2	1960	1960	1960	Mars	flyby	False	https://en.wikipedia.org/wiki/Mars_1M_No.2
Sputnik 22	1962	1962	1962	Mars	flyby	False	https://en.wikipedia.org/wiki/Mars_2MV-4_No.1
Sputnik 24	1962	1962	1962	Mars	flyby	False	https://en.wikipedia.org/wiki/Mars_2MV-3_No.1
Mars 1	1962	1962	1962	Mars	flyby	False	https://en.wikipedia.org/wiki/Mars_1
Zond 2	1964	1964	1965	Mars	flyby	False	https://en.wikipedia.org/wiki/Zond_2
Mariner 3	1964	1964	1964	Mars	flyby	False	https://en.wikipedia.org/wiki/Mariner_3
